,comment,level,label,cleaned
724,хорошо . спасибо ,simpleTree,общеразговорные,хорошо . спасибо
725,да ,simpleTree,общеразговорные,да
726,оплатить могу на карту . а примерный срок исполнения заказа какой ? ,simpleTree,вопросы о сервисе,оплатить могу на карту . а примерный срок исполнения заказа какой о
727,город ****** . а стоимость такой доставки какая ? ,simpleTree,вопросы о сервисе,город ****** . а стоимость такой доставки какая о
728,"с размером вроде определилась , если вдруг по факту не подойдет размер , возможна ли замена ? ",simpleTree,вопросы о сервисе,с размером вроде определилась о если вдруг по факту не подойдет размер о возможна ли замена о
729,"Здравствуйте ! Меня заинтересовал этот товар . можно ли увидеть размерную сетку , чтобы определиться с размером ? ",simpleTree,более 1 категории,Здравствуйте о Меня заинтересовал этот товар . можно ли увидеть размерную сетку о чтобы определиться с размером о
730,"Да , спасибо ",simpleTree,общеразговорные,Да о спасибо
731,"Добрый вечер , мы отсутствовали в городе , посылку получить не смогли , нельзя ли её повторно отправит ",simpleTree,более 1 категории,Добрый вечер о мы отсутствовали в городе о посылку получить не смогли о нельзя ли ее повторно отправит
732,Ок ,simpleTree,общеразговорные,К
733,********** * ,simpleTree,другие,********** о
734,Оплата при получении ,simpleTree,вопросы о сервисе,Оплата при получении
735,"****** , город ********** , Пермский край , ******** ******* ******** , улица ******** ***** . размер не маломерит ? ",simpleTree,более 1 категории,****** о город ********** о Пермский край о ******** ******* ******** о улица ******** ***** . размер не мало мерит о
736,Давайте блузу и ярко голубые брюки ,simpleTree,вопросы о товаре,Давайте блузу и ярко голубые брюки
737,Зубками ,simpleTree,другие,Зубками
738,"С зубчиками можно , какая цена будет ? ",simpleTree,вопросы о товаре,С зубчиками можно о какая цена будет о
739,"Мне нужен ** , а какие есть ? ",simpleTree,вопросы о товаре,Мне нужен ** о а какие есть о
740,Ок ,simpleTree,общеразговорные,К
741,Это возможно и сколько стоит ? ,simpleTree,другие,Это возможно и сколько стоит о
742,Да ,simpleTree,общеразговорные,Да
743,Здравствуйте ,simpleTree,общеразговорные,Здравствуйте
744,**** ,simpleTree,другие,****
745,? ? ? ,simpleTree,другие,о о о
746,Вот этот и ещё белый верх ,simpleTree,другие,Вот этот и еще белый верх
747,Как это можно сделать ? ,simpleTree,другие,Как это можно сделать о
748,Здравствуйте **** . Хотел заказать мед . одежду ,simpleTree,вопросы о сервисе,Здравствуйте **** . Хотел заказать мед . одежду
749,"https://vk.com/photo-45062169_412539201 https://vk.com/photo-45062169_456240230 Здравствуйте , хочу приобрести костюм и блузу , я так понимаю **** и ткань одна и та же ? ) ",simpleTree,вопросы о товаре,http о //vk.com/photo-45062169_412539201 http о //vk.com/photo-45062169_456240230 Здравствуйте о хочу приобрести костюм и блузу о я так понимаю **** и ткань одна и та же о о
750,Спасибо ) ,simpleTree,общеразговорные,Спасибо о
751,Пришли деньги ? ) ,simpleTree,другие,Пришли деньги о о
752,"****** , Город ****** ( Иркутская область ) ****** ****** Индекс ****** ********* ********* ********* ********** * Завтра оплачу . Напишу реквизиты ",simpleTree,вопросы о сервисе,****** о Город ****** о Иркутская область о ****** ****** Индекс ****** ********* ********* ********* ********** о Завтра оплачу . Напишу реквизиты
753,Полностью на резинке ) ,simpleTree,вопросы о товаре,Полностью на резинке о
754,"Здравствуйте , цены не изменились ? ) Напишите мне карту ? ",simpleTree,более 1 категории,Здравствуйте о цены не изменились о о Напишите мне карту о
755,Вам спасибо ) ,simpleTree,общеразговорные,Вам спасибо о
756,"Мне халат который за **** его один только , оплачу при получение ) ",simpleTree,другие,Мне халат который за **** его один только о оплачу при получение о
757,Здравствуйте ! Меня заинтересовал данный товар . ,simpleTree,вопросы о товаре,Здравствуйте о Меня заинтересовал данный товар .
758,Да ) ,simpleTree,общеразговорные,Да о
759,Да ) ,simpleTree,общеразговорные,Да о
760,Здравствуйте ! Меня заинтересовал данный товар . ,simpleTree,вопросы о товаре,Здравствуйте о Меня заинтересовал данный товар .
761,Здравствуйте ! Меня заинтересовал данный товар . ,simpleTree,другие,Здравствуйте о Меня заинтересовал данный товар .
762,Хорошо ) ) ,simpleTree,общеразговорные,Хорошо о о
763,"Вам спасибо , сколько дней идти будет ? ",simpleTree,вопросы о сервисе,Вам спасибо о сколько дней идти будет о
764,Да ,simpleTree,общеразговорные,Да
765,"** размер , город *********** , ****************** , ********* ***** ********** . М ** номер товара , оплата при доставке . Спасибо ) ",simpleTree,другие,** размер о город *********** о ****************** о ********* ***** ********** . ЧМ ** номер товара о оплата при доставке . Спасибо о
766,Идёт сколько по времени ? ,simpleTree,вопросы о сервисе,Идет сколько по времени о
767,Оплата на почте ? ,simpleTree,вопросы о сервисе,Оплата на почте о
768,Здравствуйте ! Меня заинтересовал данный товар . ,simpleTree,более 1 категории,Здравствуйте о Меня заинтересовал данный товар .
769,Здравствуйте ! Меня заинтересовал данный товар . ,simpleTree,более 1 категории,Здравствуйте о Меня заинтересовал данный товар .
770,О давайте один зелёный один ягодный ,simpleTree,вопросы о товаре,О давайте один зеленый один ягодный
771,Да ,simpleTree,общеразговорные,Да
772,Хорошо хорошо не тороплю только не забудьте про меня ! ,simpleTree,общеразговорные,Хорошо хорошо не тороплю только не забудьте про меня о
773,*** жду ответа ! ,simpleTree,общеразговорные,*** жду ответа о
774,Высоковата талия если есть такой же но рост другой хотела бы заказать ,simpleTree,вопросы о товаре,Высоковата талия если есть такой же но рост другой хотела бы заказать
775,Все померила нормально но можно чуть больше размер так как рост явно на *** а у меня *** ,simpleTree,вопросы о товаре,Все померила нормально но можно чуть больше размер так как рост явно на *** а у меня ***
776,Писала Юлечка ,simpleTree,другие,Писала Люлечка
777,Ой первое слово ошибочно т * ,simpleTree,другие,Ой первое слово ошибочно те о
778,"Доискался с праздниками вас со всеми ! Пришла посылка ещё не мерила , если будет как раз хочу ещё таких халатов ",simpleTree,другие,Доискался с праздниками вас со всеми о Пришла посылка еще не мерила о если будет как раз хочу еще таких халатов
779,Можете прислать каталог ,simpleTree,вопросы о сервисе,Можете прислать каталог
780,Точно придёт ,simpleTree,вопросы о сервисе,Точно придет
781,+ ********** * ,simpleTree,другие,о ********** о
782,По груди у меня *** ,simpleTree,другие,По груди у меня ***
783,Немножко по талии маловат но там же пояс я думаю будет нормально ,simpleTree,другие,Немножко по талии маловат но там же пояс я думаю будет нормально
784,Хорошо годится он соответствует ** размеру он больше чем по вашей табличке которая до ** да ? Я хочу его заказать и если он соответствует размеру то тогда * ,simpleTree,другие,Хорошо годится он соответствует ** размеру он больше чем по вашей табличке которая до ** да о Я хочу его заказать и если он соответствует размеру то тогда о
785,Жёлтый ,simpleTree,другие,Желтый
786,Мятный ,simpleTree,другие,Мятный
787,Бирюзовый есть ,simpleTree,другие,Бирюзовый есть
788,М *** ,simpleTree,другие,ЧМ ***
789,Здравствуйте меня интересует халат на запах и *** . Есть ли ** размер и соответствуют ли размеры или он маломерка ,simpleTree,вопросы о товаре,Здравствуйте меня интересует халат на запах и *** . Есть ли ** размер и соответствуют ли размеры или он маломерка
790,Добрый день ,simpleTree,общеразговорные,Добрый день
791,И есть на попе тоже фотографии ,simpleTree,другие,И есть на попе тоже фотографии
792,А на фото какие ? ,simpleTree,другие,А на фото какие о
793,Это сколько ПолучаетсЯ вместе с доставкой ? ,simpleTree,вопросы о сервисе,Это сколько Получается вместе с доставкой о
794,Они отшиваются по меркам ,simpleTree,вопросы о товаре,Они отшиваются по меркам
795,А замеры можно ,simpleTree,вопросы о товаре,А замеры можно
796,А оплачивать как ? ,simpleTree,вопросы о сервисе,А оплачивать как о
797,***** ,simpleTree,другие,*****
798,******** ,simpleTree,другие,********
799,? ,simpleTree,другие,о
800,А в ******** отправляете мёд халаты ,simpleTree,вопросы о сервисе,А в ******** отправляете мед халаты
801,Доброе утро ,simpleTree,общеразговорные,Доброе утро
802,Обязательно пришлю ,simpleTree,вопросы о сервисе,Обязательно пришлю
803,"**** Здравствуйте , посылку получила , возврат отправила . Всё хорошо , блузой очень довольна . Спасибо Вам огромное ! ",simpleTree,более 1 категории,**** Здравствуйте о посылку получила о возврат отправила . Всё хорошо о блузой очень довольна . Спасибо Вам огромное о
804,Возможно . Спасибо вам . ,simpleTree,общеразговорные,Возможно . Спасибо вам .
805,Спасибо . Я думала они позвонят . Завтра пойду получать . ,simpleTree,более 1 категории,Спасибо . Я думала они позвонят . Завтра пойду получать .
806,"Здравствуйте , извините , хочу уточнить-вы уже отправили мне посылку ? ",simpleTree,более 1 категории,Здравствуйте о извините о хочу уточнить-вы уже отправили мне посылку о
807,Спасибо ! ,simpleTree,общеразговорные,Спасибо о
808,Льва ******** * ,simpleTree,другие,Льва ******** о
809,Спасибо ) ) ,simpleTree,общеразговорные,Спасибо о о
810,Номер телефона ********** * ,simpleTree,другие,Номер телефона ********** о
811,Оплачу на почте ,simpleTree,другие,Оплачу на почте
812,*********** ***** ************ ,simpleTree,другие,*********** ***** ************
813,Хорошо ) ) ,simpleTree,общеразговорные,Хорошо о о
814,Хорошо ) ,simpleTree,общеразговорные,Хорошо о
815,Брюки же заужены ? ) ,simpleTree,вопросы о товаре,Брюки же заужены о о
816,Легкая сильно просвечивает ? ,simpleTree,вопросы о товаре,Легкая сильно просвечивает о
817,Спасибо . ,simpleTree,общеразговорные,Спасибо .
818,Спасибо за понимание и подсказки . С наступающим праздником ! ! ! ,simpleTree,общеразговорные,Спасибо за понимание и подсказки . С наступающим праздником о о о
819,Почтой оплата при получении . ,simpleTree,другие,Почтой оплата при получении .
820,****** Забайкальский край шилкинский район г ***** ул ******** д ** ********* ****** ********* ********** * ,simpleTree,другие,****** Забайкальский край шипкинский район го ***** ул ******** да ** ********* ****** ********* ********** о
821,Как оплата и доставка ? ,simpleTree,вопросы о сервисе,Как оплата и доставка о
822,И что с ростовкой пошьют на *** ? ,simpleTree,вопросы о сервисе,И что с ростовой пошьют на *** о
823,Ага ясно . А ткань сатори ? ,simpleTree,вопросы о товаре,Ага ясно . А ткань натори о
824,На параметры ог98 от80 об104 наверное ** да ? ,simpleTree,другие,На параметры ого ото обруб наверное ** да о
825,А хочется больше первый . ,simpleTree,вопросы о товаре,А хочется больше первый .
826,Не могу определиться с моделью . Может подскажите какая сидит лучше на невысоких девушках вот эта или первая ? ,simpleTree,вопросы о товаре,Не могу определиться с моделью . Может подскажите какая сидит лучше на невысоких девушках вот эта или первая о
827,Ясно а такого цвета нет ? ,simpleTree,вопросы о товаре,Ясно а такого цвета нет о
828,Нет вот этот **** . ,simpleTree,вопросы о сервисе,Нет вот этот **** .
829,Как оплата и доставка ? К новому году скидок нет ? ,simpleTree,вопросы о сервисе,Как оплата и доставка о К новому году скидок нет о
830,Баклажан наверное . Там на фотоотзывах есть такой . Ну или ***** . Что нибудь такое . А на рост *** нет . Я заказывала комбинезон через сайт мне на *** отшивали . ,simpleTree,вопросы о товаре,Баклажан наверное . Там на фото отзывах есть такой . Ну или ***** . Что нибудь такое . А на рост *** нет . Я заказывала комбинезон через сайт мне на *** отшивали .
831,Здравствуйте можно ли модель халата *** заказать в другом ***** ? И на какой минимальный рост ? ,simpleTree,вопросы о товаре,Здравствуйте можно ли модель халата *** заказать в другом ***** о И на какой минимальный рост о
832,Здравствуйте ! Как можно у Вас сделать заказ на мед . одежду и как долго будет идти ? ,simpleTree,более 1 категории,Здравствуйте о Как можно у Вас сделать заказ на мед . одежду и как долго будет идти о
833,"Нет , вот я вам и написала ",simpleTree,общеразговорные,Нет о вот я вам и написала
834,"Я не получала извещения ( ( , ходила к ящику почтовому каждый день . Спасибозаедук ним номер покажу ",simpleTree,более 1 категории,Я не получала извещения о о о ходила к ящику почтовому каждый день . Спасибочки ним номер покажу
835,"Здравствуйте , а посылки нет ( возможно из-за новогодних выходных ? ",simpleTree,более 1 категории,Здравствуйте о а посылки нет о возможно из-за новогодних выходных о
836,"Извините , хорошо что увидела ",simpleTree,общеразговорные,Извините о хорошо что увидела
837,"Ух у меня ошибка , брюки ** размер ",simpleTree,вопросы о товаре,Ух у меня ошибка о брюки ** размер
838,Буду ждать ,simpleTree,общеразговорные,Буду ждать
839,Оплата при получении на почте ,simpleTree,вопросы о сервисе,Оплата при получении на почте
840,"А качество ткани ? плотная ? брюки понятно а блуза ? мне брюки белые м530 - размер ** , блуза розовая м272 - размер ** . г . ************ ****** , ул С . *********** , дом *** , кв . ** . Ганус Виктория ********** ",simpleTree,более 1 категории,А качество ткани о плотная о брюки понятно а блуза о мне брюки белые магм о размер ** о блуза розовая м272 о размер ** . го . ************ ****** о ул С . *********** о дом *** о кв . ** . Гансу Виктория **********
841,Брюки которые меня интересую сильно тянутся ( ткань написана стретч ) ,simpleTree,вопросы о товаре,Брюки которые меня интересую сильно тянутся о ткань написана стретт о
842,"Если , вдруг , размер не подошёл , возможен обмен ? ",simpleTree,вопросы о сервисе,Если о вдруг о размер не подошел о возможен обмен о
843,"Здравствуйте , у меня вопросы по поводу медицинской одежды Цветоформа : где посмотреть размеры , как оформить заказ , как долго идёт посылка в г ************ , как оплачивать . Интересуют : брюки белые м530 , блуза розовая м272 ",simpleTree,более 1 категории,Здравствуйте о у меня вопросы по поводу медицинской одежды Светофора о где посмотреть размеры о как оформить заказ о как долго идут посылка в го ************ о как оплачивать . Интересуют о брюки белые магм о блуза розовая м272
844,Здравствуйте ! Меня заинтересовал данный товар . ,simpleTree,более 1 категории,Здравствуйте о Меня заинтересовал данный товар .
845,"*** , посылку получила , все подошло , понравилось ... спасибо . ",simpleTree,более 1 категории,*** о посылку получила о все подошло о понравилось ... спасибо .
846,При получении ... ,simpleTree,вопросы о сервисе,При получении ...
847,********** * . ***** ,simpleTree,другие,********** о . *****
848,У вас адресс остался ? ,simpleTree,вопросы о сервисе,У вас адрес остался о
849,"Ну , я в общем определилась .. возьму бабочек и вторую все же , тоже цветную ... с зубами . https://m.vk.com/photo1173281_456246653?list=mail35202 обе эти на ** р ",simpleTree,вопросы о товаре,Ну о я в общем определилась .. возьму бабочек и вторую все же о тоже цветную ... с зубами . http о //m.vk.com/photo1173281_456246653 о list=mail35202 обе эти на ** ро
850,Может темно синий есть ? ,simpleTree,вопросы о товаре,Может темно синий есть о
851,"Ой , нет , такая модель ( с акцентом на талию ) мне не пойдёт . ... ",simpleTree,вопросы о товаре,Ой о нет о такая модель о с акцентом на талию о мне не пойдет . ...
852,Я бы тогда голубую заказала на ** и вот эту с бабочками р48 ... ,simpleTree,вопросы о товаре,Я бы тогда голубую заказала на ** и вот эту с бабочками Рур ...
853,"Она плотная ведь , ткань ? ",simpleTree,вопросы о товаре,Она плотная ведь о ткань о
854,Вот с бабочками шикарная ... цена ? ,simpleTree,вопросы о товаре,Вот с бабочками шикарная ... цена о
855,"и цена , только блузы ? р ** . ",simpleTree,вопросы о товаре,и цена о только блузы о ро ** .
856,"и есть ли эта , еще в наличии ? р48 ",simpleTree,вопросы о товаре,и есть ли эта о еще в наличии о Рур
857,"*** добрый вечер , а можно заказать только блузу такого такого цвета ? ",simpleTree,более 1 категории,*** добрый вечер о а можно заказать только блузу такого такого цвета о
858,"*** , добрый день , посылку забрала , спасибо ... все идеально подошло ... ",simpleTree,более 1 категории,*** о добрый день о посылку забрала о спасибо ... все идеально подошло ...
859,"Очень уж долго шла посылка , я рассчитывала , что получу до отьезда ... и костюм очень нужен ... ",simpleTree,вопросы о сервисе,Очень уж долго шла посылка о я рассчитывала о что получу до отъезда ... и костюм очень нужен ...
860,"Да , я вкурсе , меня просто нет в городе , а мужу не отдали ... ( ходил на почту ) ... ",simpleTree,вопросы о сервисе,Да о я вкусе о меня просто нет в городе о а мужу не отдали ... о ходил на почту о ...
861,"*** , добрый вечер ... я уехала , на две ****** ... по приезду заберу ... ( в понедельник ) ",simpleTree,более 1 категории,*** о добрый вечер ... я уехала о на две ****** ... по приезду заберу ... о в понедельник о
862,Ни чего себе ... и такое бывает ? Как получу сразу отпишусь ... спасибо . ,simpleTree,более 1 категории,Ни чего себе ... и такое бывает о Как получу сразу отпишусь ... спасибо .
863,Ок . нашла ... только * ноября отправили ? ? ? Так конечно нет ещё ... я ещё жду с середины октября ... ,simpleTree,вопросы о сервисе,К . нашла ... только о ноября отправили о о о Так конечно нет еще ... я еще жду с середины октября ...
864,Не нашёлся мой трек код .. ? ,simpleTree,вопросы о сервисе,Не нашелся мой трек код .. о
865,"*** , добрый день , ... посылка так и не пришла нам ( уже ** дней прошло ) ... трек нам не скинили .. ",simpleTree,более 1 категории,*** о добрый день о ... посылка так и не пришла нам о уже ** дней прошло о ... трек нам не скинии ..
866,"*** , добрый вечер , вы мне трек кините , как отправите ... ? ",simpleTree,более 1 категории,*** о добрый вечер о вы мне трек икните о как отправите ... о
867,слоники ( штаны темно ***** ) + белая ( лекая ) ,simpleTree,вопросы о товаре,слоники о штаны темно ***** о о белая о легкая о
868,********* ***** ************* . ,simpleTree,другие,********* ***** ************* .
869,ок . давайте при получении ... ****** **** г . ********** . Приморское шоссе дом *** кв ** ,simpleTree,вопросы о сервисе,ко . давайте при получении ... ****** **** го . ********** . Приморское шоссе дом *** кв **
870,ок . а как с оплатой ? наложным ? ,simpleTree,вопросы о сервисе,ко . а как с оплатой о наложенным о
871,Здравствуйте ! Меня заинтересовал данный товар . Доставка по ****** есть ? ,simpleTree,более 1 категории,Здравствуйте о Меня заинтересовал данный товар . Доставка по ****** есть о
872,"Приветствую ! Что-то пишут нам , что не отвечает людям никто ",simpleTree,другие,Приветствую о Что-то пишут нам о что не отвечает людям никто
873,"Здравствуйте , **** ! А не планируется ли каких-нибудь акций в честь нового года ? ",simpleTree,другие,Здравствуйте о **** о А не планируется ли каких-нибудь акций в честь нового года о
874,и люди что-то жалуются что им никто не пишет ,simpleTree,другие,и люди что-то жалуются что им никто не пишет
875,спасибо ,simpleTree,общеразговорные,спасибо
876,"Здравствуйте , **** ! Давайте ещё раз сменим номер карты , вот новый **** **** ********* ",simpleTree,другие,Здравствуйте о **** о Давайте еще раз сменим номер карты о вот новый **** **** *********
877,"Добрый вечер , **** ! На карту , которую я высылал ранее , не нужно ничего переводить . Новый номер **** **** **** **** ",simpleTree,другие,Добрый вечер о **** о На карту о которую я высылал ранее о не нужно ничего переводить . Новый номер **** **** **** ****
878,"**** , здравствуйте ! Что-то снова люди жалуются , что нет дальнейшей обратной связи . ",simpleTree,другие,**** о здравствуйте о Что-то снова люди жалуются о что нет дальнейшей обратной связи .
879,"Добрый день , не очень понятно , продолжаем мы сотрудничество или нет . ",simpleTree,другие,Добрый день о не очень понятно о продолжаем мы сотрудничество или нет .
880,"Замечательно , ух , сколько много стало ! ",simpleTree,другие,Замечательно о ух о сколько много стало о
881,"ну мы же тоже заинтересованы чтоб люди писали , иначе какой смысл ) ) ",simpleTree,другие,ну мы же тоже заинтересованы чтоб люди писали о иначе какой смысл о о
882,"может быть придумают какие-то сторониие сервисы для товаров вк , штатный функционал всёж весьма беден , особенно в мобильном приложении ",simpleTree,другие,может быть придумают какие-то сторонние сервисы для товаров во о штатный функционал всё весьма беден о особенно в мобильном приложении
883,неа ,simpleTree,общеразговорные,нет
884,"жалко , что перемешивание не отображается в мобильном приложении , я писал в поддержку , к сведению приняли , но внедрят или нет не известно ",simpleTree,другие,жалко о что перемешивание не отображается в мобильном приложении о я писал в поддержку о к сведению приняли о но внедрят или нет не известно
885,"Товары перемешиваются специльно иногда , после этого обычно начинают писать больше ) ) ) ",simpleTree,другие,Товары перемешиваются специально иногда о после этого обычно начинают писать больше о о о
886,готово ,simpleTree,общеразговорные,готово
887,"ок , давайте сделаю ",simpleTree,другие,ко о давайте сделаю
888,"Добрый день ! А что за изменения вы хотите внести , можно пример ? ",simpleTree,другие,Добрый день о А что за изменения вы хотите внести о можно пример о
889,А с понедельника работаете в прежнем режиме ? ,simpleTree,вопросы о сервисе,А с понедельника работаете в прежнем режиме о
890,"Понятно , некоторые прям ругаются реально ) ) ) ",simpleTree,другие,Понятно о некоторые прям ругаются реально о о о
891,"Здравствуйте , **** ! Что-то сильно ругаются люди в личку сообществу , говорят , вы им ничего не пишите ... ",simpleTree,другие,Здравствуйте о **** о Что-то сильно ругаются люди в лучки сообществу о говорят о вы им ничего не пишите ...
892,"Добрый день . Цены заменил , а последние это новые модели или что ? ",simpleTree,другие,Добрый день . Цены заменил о а последние это новые модели или что о
893,"Здравствуйте . То , что вы несколько дней не отвечаете покупателям , это особый маркетинговый ход ? Не знаю , насколько это эффективно в плане продаж , но они жалуются на это . ",simpleTree,общеразговорные,Здравствуйте . То о что вы несколько дней не отвечаете покупателям о это особый маркетинговый ход о Не знаю о насколько это эффективно в плане продаж о но они жалуются на это .
894,Спасибо ! ! ! ,simpleTree,общеразговорные,Спасибо о о о
895,"Добрый вечер ! С Новым годом ! Хотела спросить , халат отправлен ? ) ) мне его ждать ? Оплата при получении ? ",simpleTree,вопросы о сервисе,Добрый вечер о С Новым годом о Хотела спросить о халат отправлен о о о мне его ждать о Оплата при получении о
896,"Да , пусть ** . Лучше подобрать , где не сядет , чем над узким слезы лить ) ) ) ",simpleTree,другие,Да о пусть ** . Лучше подобрать о где не сядет о чем над узким слезы лить о о о
897,****** *** . Номер телефона ********** * ,simpleTree,другие,****** *** . Номер телефона ********** о
898,** размера ,simpleTree,другие,** размера
899,Можно мне только халат ,simpleTree,другие,Можно мне только халат
900,"Простите , надеюсь , не опоздала ( ( ",simpleTree,другие,Простите о надеюсь о не опоздала о о
901,Да и комбез без шнурка мне ) ) ) ,simpleTree,вопросы о товаре,Да и комбез без шнурка мне о о о
902,"Если с размерами все будет хорошо , то я буду вашим постоянным заказчиком ",simpleTree,вопросы о товаре,Если с размерами все будет хорошо о то я буду вашим постоянным заказчиком
903,"**** , Шурышкарский район , с . Мужи , ул . Уральская , *** , кв ** . ****** . ********* ******** ************* . ",simpleTree,вопросы о сервисе,**** о Пушкарский район о с . Мужи о ул . Уральская о *** о кв ** . ****** . ********* ******** ************* .
904,"Хорошо . Тогда мне * ) халат ** размера , * ) комбез **** размера ( не маломерят ? Или размер в размер идёт одежда « цветоформы » ? ",simpleTree,вопросы о товаре,Хорошо . Тогда мне о о халат ** размера о о о комбез **** размера о не мало мерят о Или размер в размер идут одежда о светофоры о о
905,Чёрный есть комбез ? ) ) ) ***** размера ,simpleTree,вопросы о товаре,Черный есть комбез о о о о ***** размера
906,Добрый день ! ,simpleTree,общеразговорные,Добрый день о
907,А комбенизоны ещё есть ? ,simpleTree,вопросы о товаре,А комбинезон еще есть о
908,Добрый вечер ! Можно заказать такой халат ***** размера ? ,simpleTree,более 1 категории,Добрый вечер о Можно заказать такой халат ***** размера о
909,"Здравствуйте . Заказывала ** декабря халат и брюки , в тот же день перевела деньги на карту сбербенка , но посылки до сих пор нет . Скажите , отправляли ли вы посылку на имя ****** *** ********** ? ",simpleTree,более 1 категории,Здравствуйте . Заказывала ** декабря халат и брюки о в тот же день перевела деньги на карту сбербанк о но посылки до сих пор нет . Скажите о отправляли ли вы посылку на имя ****** *** ********** о
910,Завтра отправите ? ,simpleTree,вопросы о сервисе,Завтра отправите о
911,В течение часа отправлю ,simpleTree,вопросы о сервисе,В течение часа отправлю
912,Когда сможете отправить ? ,simpleTree,вопросы о сервисе,Когда сможете отправить о
913,Хорошо ,simpleTree,общеразговорные,Хорошо
914,"Хочу черную , ТОЛЬКО ТОНКОЙ ТКАНИ ! ",simpleTree,вопросы о товаре,Хочу черную о ТОЛЬКО ТОНКОЙ ТКАНИ о
915,И скажите пожалуйста какая ткань плотная или тонкая ? ,simpleTree,вопросы о товаре,И скажите пожалуйста какая ткань плотная или тонкая о
916,А серый ? ,simpleTree,вопросы о товаре,А серый о
917,Здравствуйте ! Да ** ,simpleTree,общеразговорные,Здравствуйте о Да **
918,Юляяя ! ,simpleTree,другие,Юля о
919,"Здравствуйте , мне нужна модель м271 . Какие есть цвета ? И как она смотрится на рост *** ? ",simpleTree,более 1 категории,Здравствуйте о мне нужна модель магм . Какие есть цвета о И как она смотрится на рост *** о
920,**** ,simpleTree,другие,****
921,отправила ,simpleTree,другие,отправила
922,ок ,simpleTree,общеразговорные,ко
923,или можно еще вам деньги на карту перевести ? ,simpleTree,вопросы о сервисе,или можно еще вам деньги на карту перевести о
924,отправили ? ,simpleTree,вопросы о сервисе,отправили о
925,вы мне уже выслали ? ,simpleTree,вопросы о сервисе,вы мне уже выслали о
926,вы мне сумму так и написали ? ,simpleTree,вопросы о сервисе,вы мне сумму так и написали о
927,да ,simpleTree,общеразговорные,да
928,"блин , я уже сфотала ",simpleTree,другие,блин о я уже сфоткала
929,я могу вам сейчас точно сказать в сантиметрах сколько от пояса ,simpleTree,вопросы о товаре,я могу вам сейчас точно сказать в сантиметрах сколько от пояса
930,*** ,simpleTree,другие,***
931,а можно брюки под рост мой ? ,simpleTree,вопросы о товаре,а можно брюки под рост мой о
932,переведу в течении дня сегодня . какая сумма ? ,simpleTree,более 1 категории,переведу в течении дня сегодня . какая сумма о
933,"Полити ***** ******** , все остальное то же ",simpleTree,другие,Полит ***** ******** о все остальное то же
934,да точно . ! ,simpleTree,общеразговорные,да точно . о
935,"Хочу , мне кажется у такие же синие ",simpleTree,вопросы о товаре,Хочу о мне кажется у такие же синие
936,Ок . Спасибо ,simpleTree,общеразговорные,К . Спасибо
937,"Оплата на карту . Республика **** , г . ****** , ул . ****** **** - ** индекс ****** . Дубовик ********* ************* . Тел . * *** ** ** *** ",simpleTree,вопросы о сервисе,Оплата на карту . Республика **** о го . ****** о ул . ****** **** о ** индекс ****** . Дубовик ********* ************* . Тел . о *** ** ** ***
938,Длина брюк по внутреннему . шву ** см ,simpleTree,вопросы о товаре,Длина брюк по внутреннему . шву ** см
939,"В таком случае я бы хотела заказать блузу м26 черную из плотной ткани https://vk.com/photo-45062169_456240918 , комбинезон https://vk.com/photo-45062169_456239879 и брюки м *** из плотной ткани , **** лайм https://vk.com/photo-45062169_456240394 ",simpleTree,вопросы о товаре,В таком случае я бы хотела заказать блузу МВД черную из плотной ткани http о //vk.com/photo-45062169_456240918 о комбинезон http о //vk.com/photo-45062169_456239879 и брюки мы *** из плотной ткани о **** лайм http о //vk.com/photo-45062169_456240394
